Alloy,No,Component,Fraction,delta,D_elec_nega,VEC,BulkModulus,omega,Phase_inshort
Pd82Si18,2,Pd Si,82 18,0.063885438,0.115256236,8.92,1.66E+11,26.1690889,AM
CuNi2FeCrAl1.5,5,Cu Ni Fe Cr Al,1 2 1 1 1.5,0.059313193,0.128891496,7.615384615,1.45E+11,305.3155073,SS
AlMo0.5NbTa0.5TiZr ,6,Al Mo Nb Ta Ti Zr,1 0.5 1 0.5 1 1 ,0.050410248,0.217614338,4.3,1.28E+11,225.1616626,IM+SS
AlEr2,2,Al Er,1 2,0.092679044,0.174419673,3,54666666667,28.0996089,IM
Ce65Al10Ni10Cu10Nb5,5,Ce Al Ni Cu Nb,65 10 10 10 5,0.144722268,0.325392071,4.6,62400000000,69.71542993,AM
B3FeNd2,3,B Fe Nd,3 1 2,0.31658733,0.406355755,3.833333333,1.99E+11,46.91959057,IM
AlB2Ni7,3,Al B Ni,1 2 7,0.159347242,0.111193525,7.9,1.98E+11,72.51331993,IM
AlCrFeNiMo0.5,5,Al Cr Fe Ni Mo,1 1 1 1 0.5,0.061121774,0.172225806,6.666666667,1.56E+11,240.1425466,SS
AuSn,2,Au Sn,1 1,0.05813194,0.29,7.5,1.39E+11,63.85306489,IM
Pr60Al10Ni10Cu20,4,Pr Al Ni Cu,60 10 10 20,0.114621559,0.352221521,5.3,71000000000,49.86271615,AM
Ni60Nb10Hf5Ti25,4,Ni Nb Hf Ti,60 10 5 25,0.084158165,0.196784146,7.7,1.58E+11,60.25506271,AM
CuCoNiCrAl1.8Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 1.8 1,0.061325834,0.12725645,7.264705882,1.42E+11,337.4162865,SS
Zr57Ti5Cu20Ni8Be10,5,Zr Ti Cu Ni Be,57 5 20 8 10,0.124749139,0.248738799,5.68,1.01E+11,75.00366177,AM
Dy5Sb3,2,Dy Sb,5 3,0.13371731,0.401822022,3.75,41375000000,14.66147891,IM
Al0.3CoCrFeNi ,5,Al Co Cr Fe Ni,0.3 1 1 1 1,0.037575522,0.107516334,7.88372093,1.66E+11,383.3379418,IM+SS
Bi3Pb7,2,Bi Pb,3 7,0.088659264,0.142059847,4.3,41500000000,0,IM
CoCr2FeNi,4,Co Cr Fe Ni,1 2 1 1,0.002795958,0.107591821,7.8,1.70E+11,596.2117954,SS
AlCoCrCu0.5FeNi2.5,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1 2.5,0.050613081,0.117518995,8.071428571,1.58E+11,329.7644897,SS
BCoMo,3,B Co Mo,1 1 1,0.204498906,0.11469767,6,2.43E+11,91.70796868,IM
Ni61Al11Ni8Co5Cu15,5,Nd Al Ni Co Cu,61 11 8 5 15,0.110637097,0.340435765,5.06,72280000000,69.22693281,AM
Al0.5CoCrCuFeNiTi0.2,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.2,0.0493137,0.11875003,8.122807018,1.56E+11,761.9534452,SS
Cu54Zr27Ti9Be10,4,Cu Zr Ti Be,54 27 9 10,0.117564223,0.249368222,7.58,1.18E+11,88.8938055,AM
Zr66Al9Cu16Ni9,4,Zr Al Cu Ni,66 9 16 9,0.096609903,0.246759073,5.57,92190000000,57.58221445,AM
GdHoLaTbY,5,Gd Ho La Tb Y,1 1 1 1 1,0.021582588,0.057965507,3,37140000000,0,SS
La55Al25Cu20,3,La Al Cu,55 25 20,0.158779617,0.332217925,4.6,62400000000,38.16425653,AM
AlMnNbTiV,5,Al Mn Nb Ti V,1 1 1 1 1,0.039497885,0.034985711,4.8,1.27E+11,193.4326598,IM
CoCr2FeNiAl0.3,5,Co Cr Fe Ni Al,1 2 1 1 0.3,0.034061991,0.11230616,7.528301887,1.65E+11,399.8129026,IM+SS
Mo3Si,2,Mo Si,3 1,0.069387766,0.112583302,5.5,1.98E+11,55.5640679,IM
AlNd,2,Al Nd,1 1,0.067708333,0.235,3,54000000000,20.31532304,IM
Al0.5CoCrCuFeNiTi1.4 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.4,0.069377252,0.147642682,7.405797101,1.48E+11,237.8935821,IM+SS
Gd50Al24Co20Y6,4,Gd Al Co Y,50 24 20 6,0.144709828,0.278101852,4.2,75700000000,50.68989921,AM
Al0.5CoCrCuFeNiV1.0 ,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 1.0,0.040357597,0.120791277,7.769230769,1.58E+11,647.9011195,IM+SS
B6Co20In3,3,B Co In,6 20 3,0.177770874,0.076243555,7.137931034,1.94E+11,140.6826834,IM
HfNbTiZr,4,Hf Nb Ti Zr,1 1 1 1,0.048723866,0.129687123,4.25,1.15E+11,1292.719492,SS
Cu54Ni6Zr22Ti18,4,Cu Ni Zr Ti,54 6 22 18,0.099427646,0.242618713,8.14,1.22E+11,105.0285221,AM
Ni50Nb20Hf2.5Ti17.5,4,Ni Nb Hf Ti,50 20 2.5 17.5,0.078862519,0.182803949,7.555555556,1.62E+11,67.85034904,AM
Fe3W2,2,Fe W,3 2,0.047798623,0.259645913,7.2,2.26E+11,0,IM
Y36Sc20Al24Co20,4,Y Sc Al Co,36 20 24 20,0.13550695,0.251457829,4.2,80400000000,61.57153967,AM
FeCoNiCrCuAl0.5,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 0.5,0.041692079,0.109325505,8.272727273,1.58E+11,1968.105626,SS
MgZn2,2,Mg Zn,1 2,0.066346617,0.160277537,8.666666667,61666666667,137.7472354,IM
Ni45Ti20Zr27Al8,4,Ni Ti Zr Al,45 20 27 8,0.107461264,0.246143942,6.62,1.28E+11,49.55076903,AM
Al3Yb,2,Al Yb,3 1,0.077416547,0.220836478,3,64750000000,36.48064903,IM
Cu4MgSn,3,Cu Mg Sn,4 1 1,0.112927833,0.225419362,8.333333333,1.11E+11,1275.161783,IM
Co0.5CrFeMn1.5Ni ,5,Co Cr Fe Mn Ni,0.5 1 1 1.5 1,0.037337176,0.146359147,7.8,1.56E+11,684.6287119,IM+SS
Ni50Nb20Hf10Ti20,4,Ni Nb Hf Ti,50 20 10 20,0.087938922,0.212134391,7.2,1.57E+11,74.21986355,AM
Al3Ca8,2,Al Ca,3 8,0.132562915,0.271670681,2.272727273,33090909091,39.34565319,IM
FeCoNiMnMo,5,Fe Co Ni Mn Mo,1 1 1 1 1,0.042149755,0.194792197,8,1.76E+11,782.347769,IM+SS
Al2CrCuFeNi2,5,Al Cr Cu Fe Ni,2 1 1 1 2,0.062974937,0.132434042,7.285714286,1.40E+11,245.2861415,IM
MgNi4Y,3,Mg Ni Y,1 4 1,0.15912221,0.30516389,7.5,1.34E+11,85.87093296,IM
AlCrTaTiZr,5,Al Cr Ta Ti Zr,1 1 1 1 1,0.07857283,0.113384302,4.4,1.23E+11,168.5479025,AM
Al5Co2,2,Al Co,5 2,0.059239521,0.121973567,4.714285714,1.06E+11,45.20355768,IM
Ca2Mg6Zn3,3,Ca Mg Zn,2 6 3,0.119248417,0.218352206,4.727272727,46727272727,97.60564925,IM
Cu0.76Si0.24,2,Cu Si,0.76 0.24,0.042776756,0,9.32,1.30E+11,57.11734509,IM
Gd36Al24Co20Nd20,4,Gd Al Co Nd,36 24 20 20,0.135264301,0.289969378,4.2,74320000000,69.15201822,AM
La66Al14Cu20,3,La Al Cu,66 14 20,0.152377934,0.332968527,4.6,57120000000,41.06252195,AM
CuAlNiCoCrFeSi,7,Cu Al Ni Co Cr Fe Si,1 1 1 1 1 1 1,0.061258363,0.115846485,7.285714286,1.44E+11,169.0176279,SS
AlMnSi,3,Al Mn Si,1 1 1,0.089262097,0.152825245,4.666666667,98666666667,41.09342721,IM
CoFeNi2V0.5Nb0.75,5,Co Fe Ni V Nb,1 1 2 0.5 0.75,0.050580504,0.11890849,8.238095238,1.75E+11,183.1403202,IM+SS
FeSi2,2,Fe Si,1 1,0.036758563,0.035,6,1.35E+11,34.63755484,IM
Ag2Ga3,2,Ag Ga,2 3,0.018372906,0.058787754,6.2,73600000000,94.742937,IM
Al85.8Co9.1Y5.1,3,Al Co Y,85.8 9.1 5.1,0.069566942,0.119871171,3.546,83679000000,40.64631818,AM
CoCrCuFeZr0.8 ,5,Co Cr Cu Fe Zr,1 1 1 1 0.8,0.099335677,0.201097251,7.75,1.47E+11,304.556572,AM+IM
B6Ni20Ti3,3,B Ni Ti,6 20 3,0.165267647,0.132397628,7.931034483,2.02E+11,53.554424,IM
Co2Mo1.75Ni2VW1.75,5,Co Mo Ni V W,2 1.75 2 1 1.75,0.042011454,0.230550717,7.529411765,2.15E+11,572.3457697,IM+SS
Al3Nb10Ni9,3,Al Nb Ni,3 10 9,0.066679566,0.151316536,6.772727273,1.61E+11,65.49642733,IM
AlCo1.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1.5 1 0.5 1 1,0.053348519,0.117780398,7.666666667,1.54E+11,371.3288622,SS
Cr45Co34Nb7B14,4,Cr Co Nb B,45 34 7 14,0.133726928,0.146961083,6.53,1.90E+11,123.6008105,AM
AlCoCrFeNiTi,6,Al Co Cr Fe Ni Ti,1 1 1 1 1 1,0.072207879,0.141352593,6.666666667,1.46E+11,143.5458401,IM+SS
Mg50Ni50,2,Mg Ni,50 50,0.124692659,0.3,6,1.13E+11,229.6916471,AM
HoDyYGdTb,5,Ho Dy Y Gd Tb,1 1 1 1 1,0.008091442,0.048,3,39740000000,0,SS
Al2TiVCrCuFeMnCoNi,9,Al Ti V Cr Cu Fe Mn Co Ni,2 1 1 1 1 1 1 1 1,0.062715627,0.14239382,6.6,1.37E+11,229.2154613,SS
La55Al25Ni5Cu15,4,La Al Ni Cu,55 25 5 15,0.160356368,0.332995495,4.55,64400000000,40.99682839,AM
Co0.5Cr0.5Fe0.5NiAlMnV0.5,7,Co Cr Fe Ni Al Mn V,0.5 0.5 0.5 1 1 1 0.5,0.05559264,0.142562267,6.8,1.42E+11,192.7237123,SS
Cu3MgSi,3,Cu Mg Si,3 1 1,0.113647474,0.236,7.8,1.13E+11,86.29011679,IM
Al2Ce,2,Al Ce,2 1,0.118529736,0.230988215,3,58000000000,18.45434639,IM
Bi2Mg3,2,Bi Mg,2 3,0.054660413,0.347827543,3.2,39400000000,54.09892117,IM
Zr42.63Ti12.37Cu11.25Ni10Be23.75,5,Zr Ti Cu Ni Be,42.63 12.37 11.25 10 23.75,0.142199464,0.217392708,4.9125,1.08E+11,73.41918571,AM
Cu17Sn3,2,Cu Sn,17 3,0.091866716,0.021424285,9.95,1.28E+11,145.6234584,IM
Al6CuMg4,3,Al Cu Mg,6 1 4,0.06856518,0.183109054,3.363636364,70545454545,406.7038229,IM
Mg65Ni20Nd15,3,Mg Ni Nd,65 20 15,0.094776924,0.259624248,3.75,70050000000,125.9674863,AM
ZrHfTiCuCo,5,Zr Hf Ti Cu Co,1 1 1 1 1,0.102415552,0.258611678,6.4,1.22E+11,132.7617943,AM
Ce57Al10Ni12.5Cu15.5Nb5,5,Ce Al Ni Cu Nb,57 10 12.5 15.5 5,0.158234464,0.349571849,5.215,72840000000,71.80464379,AM
Al11Mn4,2,Al Mn,11 4,0.025715132,0.026532998,4.066666667,87733333333,42.51599345,IM
Al1.5CoCrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1.5 1 1 0.5 1 1,0.061149968,0.125263611,7.166666667,1.46E+11,274.8988345,SS
CoFeMnNiV,5,Co Fe Mn Ni V,1 1 1 1 1,0.034408139,0.143387587,7.8,1.62E+11,323.6479051,SS
Mg65Cu25Y10,3,Mg Cu Y,65 25 10,0.10557074,0.262016698,4.35,68350000000,167.9607179,AM
Al9Mn4Si3,3,Al Mn Si,9 4 3,0.077075001,0.122956738,4.1875,91500000000,44.27704879,IM
AlBeTi,3,Al Be Ti,1 1 1,0.112538012,0.028674418,3,1.05E+11,60.89704047,IM
CuTiZn,3,Cu Ti Zn,1 1 1,0.055165568,0.150628314,9,1.07E+11,142.9909572,IM
Pd77Cu6Si17,3,Pd Cu Si,77 6 17,0.063041941,0.126249752,9.04,1.64E+11,37.06764408,AM
Cu53.2Zr41.8Al5,3,Cu Zr Al,53.2 41.8 5,0.110625144,0.275908649,7.674,1.08E+11,58.15938824,AM
Ag4Sn,2,Ag Sn,4 1,0.047297297,0.012,9.6,91600000000,283.8115748,IM
CuCoNiCrAl0.8Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 0.8 1,0.049216676,0.115776857,8,1.54E+11,818.2859273,SS
Al2Ru,2,Al Ru,2 1,0.031636381,0.278128667,4.666666667,1.24E+11,50.85225349,IM
Al2Mn,2,Al Mn,2 1,0.027519106,0.028284271,4.333333333,90666666667,42.53681808,IM
AlCoCr0.5Cu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 1 0.5 0.5 1 1,0.056983974,0.118558003,7.7,1.51E+11,336.5599029,SS
AlCoCrCu0.5FeNi0.5,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1 0.5,0.056845453,0.119503138,7.3,1.49E+11,395.4932743,SS
Ho35Al24Co20Y21,4,Ho Al Co Y,35 24 20 21,0.139546791,0.266781165,4.2,76850000000,62.77914357,AM
FeNi2CrCuAl0.8,5,Fe Ni Cr Cu Al,1 2 1 1 0.8,0.049557717,0.119625854,8.172413793,1.54E+11,553.1401467,SS
CuMg2,2,Cu Mg,1 2,0.101962272,0.278128667,5,76666666667,254.9056244,IM
Ni57.5Zr24Nb11Al7.5,4,Ni Zr Nb Al,57.5 24 11 7.5,0.109887013,0.244375449,7.485,1.45E+11,49.32268503,AM
TiZrNbMoV1.5,5,Ti Zr Nb Mo V,1 1 1 1 1.5,0.070059046,0.262054817,4.818181818,1.49E+11,1388.912876,SS
ZrTi,2,Zr Ti,50 50,0.046003263,0.105,4,90416666667,0,AM
BCaNi4,3,B Ca Ni,1 1 4,0.263224514,0.352041664,7.5,1.76E+11,92.4757037,IM
Al8Mn5,2,Al Mn,8 5,0.028485858,0.029190255,4.538461538,92923076923,42.91707218,IM
AlCoCrCu0.5Fe1.5Ni,6,Al Co Cr Cu Fe Ni,1 1 1 0.5 1.5 1,0.053707931,0.115623311,7.583333333,1.54E+11,408.3278255,SS
TaNbVTiAl0.25,5,Ta Nb V Ti Al,1 1 1 1 0.25,0.038324397,0.05017616,4.647058824,1.55E+11,776.3342956,SS
Al20Li20Mg10Sc20Ti30,5,Al Li Mg Sc Ti,20 20 10 20 30,0.051625095,0.225435135,2.8,66300000000,5118.355322,SS
Ag2Al,2,Ag Al,2 1,0.004253766,0.150849447,8.333333333,92000000000,203.0876027,IM
B2CoW2,3,B Co W,2 1 2,0.224540442,0.192,5.4,2.88E+11,104.9918391,IM
CuZr,2,Cu Zr ,50 50,0.112808053,0.285,7.5,1.05E+11,52.52503585,AM
CdSn10,2,Cd Sn,1 10,0.009254752,0.077619543,4.727272727,56545454545,0,IM
Al21Cu2Mn3,3,Al Cu Mn,21 2 3,0.032839485,0.081534833,4.076923077,86000000000,88.99525235,IM
Ti50Ni20Cu25Sn3Be7,5,Ti Ni Cu Sn Be,50 20 25 3 7,0.088739237,0.18184756,6.676190476,1.30E+11,104.4072763,AM
AlCo0.5CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 0.5 1 0.5 1 1,0.057070382,0.12239281,7.4,1.49E+11,362.6513595,SS
Zr46.75Ti8.25Cu7.5Ni10Be27.5,5,Zr Ti Cu Ni Be,46.75 8.25 7.5 10 27.5,0.14876022,0.208811265,4.575,1.06E+11,64.0287244,AM
Al7Cu3Mg6,3,Al Cu Mg,7 3 6,0.080587476,0.21480278,4.125,76375000000,423.7878513,IM
CdIn3Na2,3,Cd In Na,1 3 2,0.083774199,0.391382876,3.833333333,25765000000,110.6311913,IM
Al0.5CoCrCuFeNiTi2.0 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 2.0,0.073088923,0.153631594,7.133333333,1.45E+11,198.779108,IM+SS
Sm2Fe17Ni3,3,Sm Fe Ni,2 17 3,0.126309038,0.195096924,7.818181818,1.59E+11,454.9359184,IM
NaZn13,2,Na Zn,1 13,0.083321563,0.185428351,11.21428571,65450000000,108.2552223,IM
CoCrFeNiAl0.4MnV,7,Co Cr Fe Ni Al Mn V,1 1 1 1 0.4 1 1,0.043208028,0.135669636,7.21875,1.56E+11,331.466583,IM
Ni45Ti20Zr35,3,Ni Ti Zr,45 20 35,0.11328335,0.26151673,6.7,1.28E+11,46.09058959,AM
Ni39.8Cu5.97Ti15.92Zr29.86Al9.95Si0.5,6,Ni Cu Ti Zr Al Si,39.8 5.97 15.92 29.86 9.95 0.5,0.1084412,0.249713613,6.653333333,1.24E+11,58.41804509,AM
Al3In,2,Al In,3 1,0.037859034,0.073612159,3,65332500000,86.49678533,IM
FeSi2,2,Fe Si,1 2,0.035086212,0.032998316,5.333333333,1.23E+11,35.36063529,IM
Co2V3,2,Co V,2 3,0.02468478,0.122474487,6.6,1.68E+11,101.0018253,IM
Sb3Y4,2,Sb Y,3 4,0.146013213,0.410743477,3.857142857,41428571429,14.50999372,IM
Co0.5Cr0.5Fe0.5NiAlMnV,7,Co Cr Fe Ni Al Mn V,0.5 0.5 0.5 1 1 1 1,0.052998247,0.138056163,6.636363636,1.44E+11,195.6773435,SS
Cu0.5NiAlCoCrFeTi,7,Cu Ni Al Co Cr Fe Ti,0.5 1 1 1 1 1 1,0.069893208,0.142475992,7,1.46E+11,190.290825,AM
Cr50Co29Nb7B14,4,Cr Co Nb B,50 29 7 14,0.133713301,0.147581029,6.38,1.89E+11,123.7767662,AM
AuPb3,2,Au Pb,1 3,0.07971782,0.090932667,5.75,89500000000,294.209999,IM
AlNi6Ta,3,Al Ni Ta,1 6 1,0.061991805,0.156159974,8.5,1.70E+11,66.0541875,IM
Mg65Cu20Ni5Gd10,4,Mg Cu Ni Gd,65 20 5 10,0.107344199,0.264690385,4.3,70050000000,187.0890316,AM
B2Co3Zr,3,B Co Zr,2 3 1,0.235413601,0.239751028,6.166666667,2.08E+11,44.98647039,IM
Al0.8CrCuFe1.5MnNi,6,Al Cr Cu Fe Mn Ni,0.8 1 1 1.5 1 1,0.050815514,0.138790441,7.682539683,1.45E+11,872.1602568,SS
B2MgNi7,3,B Mg Ni,2 1 7,0.180114245,0.195509591,7.8,1.95E+11,95.45843862,IM
Ag5Sn,2,Ag Sn,5 1,0.044241028,0.01118034,9.833333333,93000000000,300.9627223,IM
Ni62Zr28Nb7Al3,4,Ni Zr Nb Al,62 28 7 3,0.11603108,0.257548811,7.76,1.46E+11,42.24797639,AM
Ce70Al10Ni10Cu10,4,Ce Al Ni Cu,70 10 10 10,0.141207767,0.323765347,4.5,55000000000,43.1147482,AM
Ni55Nb20Hf10Ti15,4,Ni Nb Hf Ti,55 20 10 15,0.088616557,0.21237408,7.5,1.61E+11,71.19879555,AM
Cu51Hf14,2,Cu Hf,51 14,0.091855546,0.246653339,9.492307692,1.34E+11,72.7708848,IM
CoCrCuFeNiTi2,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 2,0.07240603,0.154774358,7.428571429,1.50E+11,226.3270447,AM+IM
NbCrFeMnCoNi,6,Nb Cr Fe Mn Co Ni,1 1 1 1 1 1,0.054946307,0.140643363,7.5,1.63E+11,292.5545044,IM+SS
Tb36Al24Co20Y20,4,Tb Al Co Y,36 24 20 20,0.141642517,0.309092607,4.2,76372000000,59.69501975,AM
Al5CuTi2,3,Al Cu Ti,5 1 2,0.038894433,0.106704909,4.25,92500000000,55.22566395,IM
CdMg,2,Cd Mg,1 1,0.01041338,0.19,7,43500000000,87.63806383,IM
CoCrFeNiAlNb0.1,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.1,0.059188612,0.12190182,7.156862745,1.54E+11,214.3590312,SS
