Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,D_Hmix,Sid,VEC,D_VEC,BulkModulus,D_Bulk,Phase_inshort
Al6CoMn,3,Al Co Mn,6 1 1,1.399125,0.044375959,1110.9775,313.6906122,-14.5625,2.262942917,0.73562194,4.25,2.222048604,94500000000,35.38007914,IM
La55Al25Ni5Cu10Co5,5,La Al Ni Cu Co,55 25 5 10 5,1.6441,0.16166711,1200.0945,224.3792294,-32.31,7.956107151,1.205215677,4.45,2.923610781,66400000000,51.6356466,AM
BFe14Nd2,3,B Fe Nd,1 14 2,1.263176471,0.134029966,1781.764706,218.0686695,-6.006920415,6.075547782,0.578325287,7.117647059,1.906100205,1.63E+11,59.2373678,IM
Al2Sm,2,Al Sm,2 1,1.558,0.114371572,1070.696667,194.0678131,-33.77777778,1.990374643,0.636514168,3,0,63333333333,17.91337179,IM
Sr46Al14Co20Y21,4,Sr Al Co Y,46 14 20 20,1.801,0.204941992,1327.0858,374.7393136,-4.6048,11.10199212,1.276234208,3.74,2.666908322,60311212121,63.65902888,AM
Ca6.23Mg3.78Sn7,3,Ca Mg Sn,6.23 3.78 7,1.746164609,0.100146686,821.3374486,273.9374307,-32.37555251,11.42854752,1.06750262,2.823045267,0.984218991,40094650206,18.23811672,IM
Pd75Si25,2,Pd Si,75 25,1.3195,0.072852459,1792.7875,61.0764416,-41.25,5.953924651,0.562335145,8.5,2.598076211,1.60E+11,34.64101615,AM
Cd3Cu4,2,Cd Cu,3 4,1.402285714,0.10234204,1030.534286,377.8592555,5.87755102,0.06059653,0.682908105,11.42857143,0.494871659,98000000000,48.49742261,IM
TiZrHfCuNi,5,Ti Zr Hf Cu Ni,1 1 1 1 1,1.4334,0.103363704,1932.154,384.5332169,-27.36,13.31702069,1.609437912,6.6,3.2,1.22E+11,36.31498007,AM
CuGeLi2,3,Cu Ge Li,1 1 2,1.389,0.094090991,869.1375,418.658151,-22.625,8.012014903,1.039720771,4.25,4.08503366,40500000000,57.62161053,IM
HoDyYGdTb,5,Ho Dy Y Gd Tb,1 1 1 1 1,1.7848,0.008091442,1689.2,77.05686212,0,0,1.609437912,3,4.44E-16,39740000000,1.212600511,SS
La55Al25Ni10Cu10,4,La Al Ni Cu,55 25 10 10,1.64385,0.161917819,1198.0945,219.4320318,-33.6,7.606589249,1.135900959,4.5,3.008321791,66400000000,51.6356466,AM
Cr55Co24Nb7B14,4,Cr Co Nb B,55 24 7 14,1.20202,0.133699616,2144.54,257.2460075,-19.7604,7.83184931,1.132722278,6.23,1.853941747,1.88E+11,53.93134525,AM
Al16Ru8Ti6,3,Al Ru Ti,16 8 6,1.412933333,0.032989908,1581.250667,728.1878816,-33.92,5.456818446,1.009613758,4.533333333,2.12498366,1.21E+11,60.97343684,IM
Cu0.5NiCoFeAl0.5Cr,6,Cu Ni Co Fe Al Cr,0.5 1 1 1 0.5 1,1.2684,0.043697561,1726.524,345.5303732,-4.6,5.437425862,1.748067349,8,2.28035085,1.60E+11,30.42104535,SS
Mg2Ni,2,Mg Ni,2 1,1.482666667,0.112870012,1191.333333,379.4806392,-3.555555556,0.20951312,0.636514168,4.666666667,3.771236166,90000000000,63.63961031,IM
Al0.5CoCrCuFeNiTi1.0 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.0,1.298923077,0.065347465,1731.154615,330.6884492,-11.59763314,9.006469181,1.925121191,7.615384615,2.646869313,1.50E+11,32.19320374,IM+SS
BCaNi4,3,B Ca Ni,1 1 4,1.296666667,0.263224514,1729.166667,355.940265,-16.22222222,4.135065348,0.867563228,7.5,3.547299442,1.76E+11,87.63640162,IM
Al2Zr3,2,Al Zr,2 3,1.5346,0.054589176,1650.188,585.1977965,-42.24,0.862220389,0.673011667,3.6,0.489897949,72900000000,2.531139401,IM
BIn2Ni7,3,B In Ni,1 2 7,1.2662,0.152853149,1530.35,580.0561094,-4.16,6.533566254,0.801818553,7.9,3.207802986,1.65E+11,77.63559895,IM
La55Al25Ni5Cu15,4,La Al Ni Cu,55 25 5 15,1.64545,0.160356368,1179.583,187.1965872,-31.93,7.898110185,1.109738552,4.55,3.106042498,64400000000,47.83137046,AM
Cu11In9,2,Cu In,11 9,1.4049,0.099859939,940.161,461.6841207,9.9,0.049749372,0.688138814,7.4,3.979949748,91998500000,53.06765496,IM
Ni40Cu6Ti16Zr28Al10,5,Ni Cu Ti Zr Al,40 6 16 28 10,1.40104,0.107382417,1772.4132,348.4802935,-42.8112,13.81818802,1.415222868,6.72,3.168848371,1.25E+11,48.17613517,AM
Tb36Al24Co20Y20,4,Tb Al Co Y,36 24 20 20,1.59544,0.141642517,1523.8728,338.6670153,-34.5664,10.76440009,1.354077539,4.2,2.4,76372000000,53.93446038,AM
Cu0.5NiCoCrAl0.5Fe3.5,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3.5,1.259266667,0.037372801,1754.682667,284.921007,-2.577777778,4.446064149,1.522699926,8,1.861898673,1.63E+11,25.31789003,SS
CuAlNiCoCrFeSi,7,Cu Al Ni Co Cr Fe Si,1 1 1 1 1 1 1,1.264285714,0.061258363,1637.891429,363.7081427,-18.85714286,11.62196071,1.945910149,7.285714286,2.813959372,1.44E+11,37.98388488,SS
Cu0.5NiAlCoCrFe,6,Cu Ni Al Co Cr Fe,0.5 1 1 1 1 1,1.283272727,0.055127965,1654.428182,400.6439315,-7.933884298,6.17851619,1.767761472,7.545454545,2.606412943,1.52E+11,37.66840972,AM
B6Ni20Ti3,3,B Ni Ti,6 20 3,1.180206897,0.165267647,1878.310345,248.256278,-28.65160523,4.939410257,0.81691517,7.931034483,3.095391842,2.02E+11,63.95413041,IM
Ni61Al11Ni8Co5Cu15,5,Nd Al Ni Co Cu,61 11 8 5 15,1.51185,0.110637097,1322.3272,201.0170355,-22.5536,9.915696617,1.1807339,5.06,3.328122594,72280000000,56.45884873,AM
Mg60Cu29Y10Si,4,Mg Cu Y Si,60 29 10 1,1.52295,0.114128758,1144.3233,297.3344804,-7.2164,4.045657299,0.941789149,4.73,4.022076578,72700000000,43.37983402,AM
Cu4Ti3,2,Cu Ti,4 3,1.356857143,0.067108307,1607.725714,288.6239979,-8.816326531,0.090894795,0.682908105,8,3.464101615,1.27E+11,14.84614978,IM
Cu4In,2,Cu In,4 1,1.3344,0.084532374,1172.166,371.208,6.4,1.44,0.500402424,9.4,3.2,1.19E+11,42.668,IM
Cu43Zr43Al7Ag7,4,Cu Zr Al Ag,43 43 7 7,1.44022,0.104648958,1650.6691,427.7474218,-24.6744,7.266321097,1.098110666,7.43,3.57842144,1.03E+11,32.94310461,AM
Co2Mo0.5Ni2VW0.5,5,Co Mo Ni V W,2 0.5 2 1 0.5,1.279166667,0.035703416,2078.416667,590.2161268,-8.944444444,4.547543108,1.445185879,8.166666667,1.950783318,1.92E+11,39.33474574,IM+SS
Al0.5CoCrCu0.5FeNi2 ,6,Al Co Cr Cu Fe Ni,0.5 1 1 0.5 1 2,1.264666667,0.04054888,1726.77,315.4251125,-5.194444444,5.240246365,1.676234939,8.333333333,2.211083194,1.63E+11,28.7923601,IM+SS
CoFeMnNiV,5,Co Fe Mn Ni V,1 1 1 1 1,1.2808,0.034408139,1801.8,215.3893219,-8.96,4.304862367,1.609437912,7.8,1.720465053,1.62E+11,22.27105745,SS
Ag7Sb,2,Ag Sb,7 1,1.430625,0.026584657,1193.53625,109.5175683,-1.75,0.744117556,0.376770161,10.25,1.984313483,92750000000,19.18169701,IM
AgZn3,2,Ag Zn,1 3,1.4075,0.015382334,828.2425,234.8011376,-3,0.433012702,0.562335145,11.75,0.433012702,77500000000,12.99038106,IM
Sr40Al20Co20Y20,4,Sr Al Co Y,40 20 20 20,1.7578,0.209138042,1320.094,380.8806629,-9.76,11.63030249,1.33217904,3.8,2.638181192,64157575758,62.54431861,AM
CaAlZn,3,Ca Al Zn,1 1 1,1.601,0.165893148,913.7166667,172.9762821,-18.22222222,6.556810928,1.098612289,5.666666667,4.496912521,54333333333,26.51205177,IM
Ce65Al12.5Ni12.5Cu10,4,Ce Al Ni Cu,65 12.5 12.5 10,1.6488,0.148668041,1164.61075,236.1803726,-28.135,5.823898958,1.03012779,4.675,3.117591218,60300000000,58.39957192,AM
Cu4MgSn,3,Cu Mg Sn,4 1 1,1.388833333,0.112927833,1143.193333,326.5594162,0.777777778,2.922876986,0.867563228,8.333333333,3.815174381,1.11E+11,41.88774682,IM
Cu16Mg6Si7,3,Cu Mg Si,16 6 7,1.314655172,0.11787283,1347.286897,255.2692628,-16.68489893,5.140500651,0.997180402,7.448275862,3.996431226,1.11E+11,37.34102251,IM
TiCrFeMnCoNi,6,Ti Cr Fe Mn Co Ni,1 1 1 1 1 1,1.299833333,0.062927534,1824.5,202.4720145,-13.44444444,7.514321032,1.791759469,7.333333333,1.972026594,1.53E+11,28.08716591,IM+SS
Al6CuMg4,3,Al Cu Mg,6 1 4,1.479454545,0.06856518,968.2354545,123.2786823,-2.181818182,0.312960268,0.916464886,3.363636364,2.459590774,70545454545,26.30714952,IM
Al4In3Sn3,3,Al In Sn,4 3 3,1.5268,0.052932165,653.837,230.1758772,5.28,1.749477636,1.088899975,3.3,0.458257569,57799000000,17.66754847,IM
NbTiV2Zr,4,Nb Ti V Zr,1 1 2 1,1.4252,0.074805076,2237,271.4767025,-1.28,1.500207986,1.33217904,4.6,0.489897949,1.34E+11,37.98391472,SS
CoCrFeNi,4,Co Cr Fe Ni,1 1 1 1,1.24675,0.003021159,1871.75,180.3723579,-3.75,1.636975107,1.386294361,8.25,1.479019946,1.73E+11,8.291561976,SS
AlCoCu,3,Al Co Cu,7 1 2,1.3831,0.054240906,1101.783,278.0662945,-5.4,4.272797678,0.801818553,5.2,3.4,99200000000,36.91287038,IM
CuNiCoFeMn,5,Cu Ni Co Fe Mn,1 1 1 1 1,1.2732,0.031789341,1636.754,171.8203075,1.76,3.595864291,1.609437912,9,1.414213562,1.58E+11,24,SS
Ti45Cu25Ni15Sn3Be7Zr5,6,Ti Cu Ni Sn Be Zr,45 25 15 3 7 5,1.37201,0.09479659,1702.8449,329.9886573,-21.198,9.756478121,1.431601604,6.51,3.410263919,1.26E+11,29.89304355,AM
CuTiZn,3,Cu Ti Zn,1 1 1,1.378333333,0.055165568,1330.483333,509.9896255,-10.22222222,4.086009453,1.098612289,9,3.559026084,1.07E+11,28.67441756,IM
CoFeNi2V0.5Nb0.75,5,Co Fe Ni V Nb,1 1 2 0.5 0.75,1.278809524,0.050580504,1940.761905,353.9463108,-15.90929705,7.629715384,1.501283464,8.238095238,1.94947519,1.75E+11,6.632565846,IM+SS
Mg65Cu7.5Ni7.5Zn5Ag5Y10,6,Mg Cu Ni Zn Ag Y,65 7.5 7.5 5 5 10,1.55215,0.096142622,1107.66325,336.0553703,-7.35,4.0436619,1.198380707,4.325,3.823529129,65850000000,42.34533622,AM
B6Co21Sb2,3,B Co Sb,6 21 2,1.167275862,0.152900334,1828.398621,342.7254158,-12.6706302,6.937889802,0.744129541,7.482758621,2.499940546,1.99E+11,70.64217076,IM
B2Mo2Ni,3,B Mo Ni,2 2 1,1.1224,0.223251437,2443.2,433.5188116,-31.68,7.369394005,1.054920168,5.6,2.576819745,2.56E+11,55.35341001,IM
Ca7Mg6Si14,3,Ca Mg Si,7 6 14,1.465925926,0.238544475,1368.925926,336.6965802,-40.79012346,10.43796088,1.024772774,3.037037037,0.999313894,66259259259,36.32935003,IM
Gd46Al24Co20Y20,4,Gd Al Co Y,36 24 20 20,1.60264,0.144772104,1508.3928,334.4646749,-34.2784,10.73691002,1.354077539,4.2,2.4,76120000000,54.11123358,AM
Ni45Ti20Zr25Al10,4,Ni Ti Zr Al,45 20 25 10,1.39705,0.105775239,1791.147,328.9590377,-45.41,11.99027832,1.258048145,6.6,3.088689042,1.28E+11,48.6714688,AM
Al0.5CoCrCuFeNiTi2.0 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 2.0,1.320666667,0.073088923,1759.134,316.010605,-16.60444444,9.84353366,1.876273584,7.133333333,2.753583524,1.45E+11,32.97568128,IM+SS
AlCrTiVZr,5,Al Cr Ti V Zr,1 1 1 1 1,1.4124,0.086809189,1873.094,478.061623,-20.32,9.750372301,1.609437912,4.4,1.019803903,1.15E+11,38.84848059,IM
FeNi2CrCuAl,5,Fe Ni Cr Cu Al,1 2 1 1 1,1.282,0.053170061,1623.04,390.17978,-5.777777778,6.473169273,1.560710409,8,2.768874621,1.51E+11,36.21693895,SS
Cu58.7Zr36.3Al3.5,3,Cu Zr Al,58.7 36.3 3.5,1.403243655,0.110590443,1626.544609,390.8810396,-22.59446211,3.988826902,0.794931001,8.136040609,3.482774225,1.12E+11,33.73060193,AM
AlCoCrFeNi,5,Al Co Cr Fe Ni,1 1 1 1 1,1.2838,0.057778896,1684.094,408.517377,-12.32,5.504703443,1.609437912,7.2,2.481934729,1.53E+11,39.30597919,IM+SS
CoCrCuFeNiZr ,6,Co Cr Cu Fe Ni Zr,1 1 1 1 1 1,1.311333333,0.099876652,1828.795,273.5280183,-14.44444444,12.00702812,1.791759469,8,2.380476143,1.50E+11,38.00711637,AM+IM
CoCrCuFeMnNi,6,Co Cr Cu Fe Mn Ni,1 1 1 1 1 1,1.269166667,0.029966526,1727.295,256.1058605,1.444444444,3.868464886,1.791759469,8.5,1.707825128,1.58E+11,21.9215774,SS
Al11Mn4,2,Al Mn,11 4,1.410133333,0.025715132,1089.611333,258.9311085,-14.86222222,1.829794181,0.579915171,4.066666667,1.768866555,87733333333,19.4575321,IM
Ce68Al10Fe2Cu20,4,Ce Al Fe Cu,68 10 2 20,1.66462,0.142649688,1129.401,160.8731795,-21.5568,6.33091158,0.892637039,4.7,3.226453161,53960000000,49.93033547,AM
Al3Zr4,2,Al Zr,3 4,1.529714286,0.055319516,1616.058571,591.1390432,-43.10204082,0.444374551,0.682908105,3.571428571,0.494871659,73047619048,2.556836906,IM
Al9Co2,2,Al Co,9 2,1.399090909,0.049897204,1085.202727,321.8737211,-11.30578512,2.96761719,0.474139313,4.090909091,2.314167648,94909090909,40.11223922,IM
CdIn3Na2,3,Cd In Na,1 3 2,1.660333333,0.083774199,437.535,74.85591977,-4,1.247219129,1.011404265,3.833333333,3.760171391,25765000000,14.10103631,IM
Mg65Cu25Y10,3,Mg Cu Y,65 25 10,1.54035,0.10557074,1119.2925,292.3407133,-5.71,2.798747086,0.856840995,4.35,3.850649296,68350000000,41.38390388,AM
CrCuFeMoNi,5,Cr Cu Fe Mo Ni,1 1 1 1 1,1.2754,0.035802288,1994.554,521.0051973,4.64,5.452250911,1.609437912,8.2,2.039607805,1.76E+11,30.06659276,SS
FeNiCoSiCrAlTi,7,Fe Ni Co Si Cr Al Ti,1 1 1 1 1 1 1,1.290571429,0.080766107,1721.21,356.7308293,-35.02040816,14.60115913,1.945910149,6.285714286,2.547507786,1.39E+11,39.80975165,SS
Cu3MgSi,3,Cu Mg Si,3 1 1,1.3176,0.113647474,1336.662,242.9772037,-14.72,4.875525818,0.950270539,7.8,3.969886648,1.13E+11,37.36308338,IM
Al1.2CrCuFeNi2,5,Al Cr Cu Fe Ni,1.2 1 1 1 2,1.28683871,0.056031122,1600.795806,402.7075973,-6.784599376,6.622239813,1.565665384,7.838709677,2.863527874,1.49E+11,38.01253969,IM+SS
AlCo,2,Al Co,1 1,1.3415,0.067461796,1350.735,417.265,-19,0,0.693147181,6,3,1.28E+11,52,IM
Al21Cu2Mn3,3,Al Cu Mn,21 2 3,1.410692308,0.032839485,1033.669615,208.2489345,-7.189349112,4.060946539,0.618977214,4.076923077,2.368431434,86000000000,20.93947321,IM
Ni45Ti20Zr27Al8,4,Ni Ti Zr Al,45 20 27 8,1.40047,0.107461264,1815.0376,308.5457662,-45.3036,12.05733543,1.236794334,6.62,3.068484968,1.28E+11,48.78775948,AM
Zr70Pd30,2,Zr Pd,70 30,1.5346,0.068084664,2038.015,137.454358,-76.44,6.672230212,0.610864302,5.8,2.749545417,1.04E+11,50.02645134,AM
CuNiCoFe,4,Cu Ni Co Fe,1 1 1 1,1.254,0.011403788,1666.1925,180.4706241,5,3.31662479,1.386294361,9.5,1.118033989,1.68E+11,16.39359631,SS
Cu0.5NiCoCrAl0.5Fe2,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 2,1.263833333,0.040841549,1740.603333,316.9918566,-3.527777778,4.97516175,1.676234939,8,2.081665999,1.61E+11,28.03965446,SS
CrNbTiZr ,4,Cr Nb Ti Zr,1 1 1 1,1.43575,0.087813408,2249.75,302.1856838,-5,3.640054945,1.386294361,4.75,0.829156198,1.28E+11,39.93647299,IM+SS
TaNbVTiAl0.25,5,Ta Nb V Ti Al,1 1 1 1 0.25,1.410588235,0.038324397,2446.439412,632.6195641,-4.816608997,4.845719771,1.52846571,4.647058824,0.588235294,1.55E+11,37.13325858,SS
Ni40Cu5Ti17Zr28Al10,5,Ni Cu Ti Zr Al,40 5 17 28 10,1.40288,0.106962588,1778.2455,346.3660267,-43.254,13.70253256,1.404224468,6.65,3.150793551,1.25E+11,48.1778995,AM
Cu58.1Zr35.9Al6,3,Cu Zr Al,58.1 35.9 6,1.403915,0.109164109,1608.82457,400.9385353,-23.119748,5.143006936,0.852061678,8.007,3.531706528,1.11E+11,33.7817893,AM
Ni57.5Zr35Al7.5,3,Ni Zr Al,57.5 35 7.5,1.3849,0.120628776,1808.41025,311.2555795,-47.86,5.430658731,0.879904293,7.375,3.063392727,1.34E+11,53.53045538,AM
CoCrFeNiAl0.25,5,Co Cr Fe Ni Al,1 1 1 1 0.25,1.257647059,0.034780138,1816.557059,281.7101061,-6.75432526,3.681676519,1.52846571,7.941176471,1.893350228,1.67E+11,24.08864828,SS
TiZrNbMo,4,Ti Zr Nb Mo,1 1 1 1,1.46425,0.059880115,2428.75,403.0740472,-2.5,2.443102536,1.386294361,4.75,0.829156198,1.45E+11,60.36456086,SS
Al85.8Ni9.1Y5.1,3,Al Ni Y,85.8 9.1 5.1,1.433944,0.070176939,1049.91426,286.5192425,-14.097564,5.58586201,0.501293639,3.637,2.013263768,83679000000,31.42871233,AM
Al2CrCuFeNi2,5,Al Cr Cu Fe Ni,2 1 1 1 2,1.303428571,0.062974937,1524.53,434.415668,-9.632653061,6.883381307,1.549826046,7.285714286,3.103651569,1.40E+11,42.58005665,IM
NaZn13,2,Na Zn,1 13,1.428,0.083321563,669.6935714,82.87874685,1.591836735,1.13527562,0.257318641,11.21428571,2.832933145,65450000000,16.4052583,IM
W6Fe7,2,W Fe,6 7,1.299153846,0.048349418,2680.538462,939.2088828,0,0,0.690185676,7.076923077,0.997037031,2.35E+11,69.79259214,IM
Ni61Zr27Nb7Al5,4,Ni Zr Nb Al,61 27 7 5,1.3645,0.114578677,1867.8135,358.2317145,-42.4148,8.322971128,0.990975569,7.68,2.921917179,1.45E+11,50.14077059,AM
CuMg2,2,Cu Mg,1 2,1.493333333,0.101962272,1067.923333,204.9525435,-2.666666667,0.15713484,0.636514168,5,4.242640687,76666666667,44.78342948,IM
Cu3Ti2,2,Cu Ti,3 2,1.3516,0.066692233,1591.062,285.7231805,-8.64,0.176363261,0.673011667,8.2,3.42928564,1.28E+11,14.69693846,IM
TiZrNbMoV0.5,5,Ti Zr Nb Mo V,1 1 1 1 0.5,1.447777778,0.065542048,2401.444444,387.7903532,-2.666666667,2.259562821,1.58109375,4.777777778,0.785674201,1.47E+11,57.10178504,SS
AuGa2,2,Au Ga,1 2,1.408666667,0.016732295,647.7166667,487.6302644,-16.88888889,0.995187322,0.636514168,5.666666667,3.771236166,1.11E+11,77.31034141,IM
Al86Y4.5Ni8La1.5,4,Al Y Ni La,86 4.5 8 1.5,1.440475,0.075581826,1039.8742,271.8494351,-14.4736,5.811229483,0.534310728,3.56,1.899052395,82025000000,30.30947665,AM
MnCrFe1.5Ni0.5Al0.3,5,Mn Cr Fe Ni Al,1 1 1.5 0.5 0.3,1.282116279,0.047027487,1758.032791,321.2705198,-5.505678745,3.755528221,1.481770318,7.186046512,1.646077988,1.51E+11,29.29789557,SS
Cu3Ge,2,Cu Ge,3 1,1.2685,0.012971606,1321.1775,63.38006918,-8.625,1.244911518,0.562335145,9.25,3.031088913,1.05E+11,60.62177826,IM
FeCoNi,3,Fe Co Ni,1 1 1,1.246,0.003276471,1769,33.89198529,-1.333333333,0.509175077,1.098612289,9,0.816496581,1.77E+11,4.714045208,SS
Al8Mn5,2,Al Mn,8 5,1.400461538,0.028485858,1158.673846,284.8628367,-17.98816568,0.492261702,0.666278442,4.538461538,1.946017022,92923076923,21.40618724,IM
Zr57Nb5Cu15.4Ni12.6Al10,5,Zr Nb Cu Ni Al,57 5 15.4 12.6 10,1.482168,0.100440875,1870.63158,455.3208137,-33.612016,11.42411164,1.249562163,5.784,3.008212758,1.01E+11,42.89271043,AM
ZrHfTiCuCo,5,Zr Hf Ti Cu Co,1 1 1 1 1,1.4344,0.102415552,1940.154,380.598648,-23.52,11.38775483,1.609437912,6.4,3.006659276,1.22E+11,36.31498007,AM
Cu50Zr45Al5,3,Cu Zr Al,50 45 5,1.43195,0.110454894,1683.1585,412.4175825,-24.76,4.810342607,0.855688667,7.45,3.55633238,1.06E+11,34.34249372,AM
Cd3Mg,2,Cd Mg,3 1,1.57625,0.009065452,676.415,142.3659161,-4.5,0.649519053,0.562335145,9.5,4.330127019,42750000000,1.299038106,IM
Ce57Al10Ni12.5Cu15.5Nb5,5,Ce Al Ni Cu Nb,57 10 12.5 15.5 5,1.60874,0.158234464,1267.77135,413.3127158,-22.0584,11.49066679,1.249354274,5.215,3.367309757,72840000000,63.88125234,AM
Al4Cu3,2,Al Cu,4 3,1.366,0.055790802,1115.312857,209.974045,-0.979591837,0.010099422,0.682908105,6.428571429,3.958973274,1.03E+11,31.6717862,IM
AlNb1.5Ta0.5Ti1.5Zr0.5,5,Al Nb Ta Ti Zr,1 1.5 0.5 1.5 0.5,1.457,0.034809102,2135.794,739.5268337,-15.12,9.638789966,1.504788284,4.2,0.748331477,1.26E+11,44.82695432,SS
Cu0.5NiCoCrAl0.5Fe3,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 3,1.260571429,0.038435999,1750.66,294.5094608,-2.836734694,4.603583014,1.574097337,8,1.927248223,1.63E+11,26.13622086,SS
Al0.3NbTaTi1.4Zr1.3,5,Al Nb Ta Ti Zr,0.3 1 1 1.4 1.3,1.48386,0.048446225,2360.7682,623.4179981,-4.4096,7.272507347,1.519249346,4.34,0.58685603,1.28E+11,49.92191247,SS
CuEr,2,Cu Er,1 1,1.517,0.157547792,1563.885,206.115,-23,0,0.693147181,7,4,92000000000,48,IM
Ni55Nb20Hf10Ti15,4,Ni Nb Hf Ti,55 20 10 15,1.3482,0.088616557,2042.15,421.3553459,-33.43,9.37971648,1.16552444,7.5,2.783882181,1.61E+11,29.40663191,AM
Mg17Sr2,2,Mg Sr,17 2,1.659,0.101927429,936.3684211,38.97531003,-1.506925208,0.76510522,0.336495758,2,0,41515151515,10.15999194,IM
SbY,2,Sb Y,1 1,1.566,0.150702427,1351.39,447.61,-68,0,0.693147181,4,1,41500000000,0.5,IM
Cr9Mo21Ni20,3,Cr Mo Ni,9 21 20,1.29568,0.04422124,2299.92,531.6543178,-6.72,1.852779274,1.039530248,7.6,1.959591794,1.97E+11,28.62236887,IM
HfMoNbTiZr,5,Hf Mo Nb Ti Zr,1 1 1 1 1,1.487,0.060972711,2444.2,361.8421755,-1.6,2.311709324,1.609437912,4.6,0.8,1.38E+11,55.79824768,SS
CrMnFe1.5Ni0.5Al1.2,5,Cr Mn Fe Ni Al,1 1 1.5 0.5 1.2,1.308057692,0.060300355,1615.32,427.3866779,-11.28698225,5.259655724,1.556272099,6.461538462,2.179110073,1.38E+11,38.82510854,SS
Mg75Ni15Nd10,3,Mg Ni Nd,75 15 10,1.55165,0.0830859,1080.85,293.3448951,-5.4,3.053669923,0.730588061,3.3,2.83019434,63950000000,48.9034508,AM
